noteType,noteDirection,index,id,time,cutType,multiplier,score/0,score/1,score/2,timeDeviation,speed,preswing,postswing,distanceToCenter,cutPoint/0,cutPoint/1,cutPoint/2,saberDir/0,saberDir/1,saberDir/2,cutNormal/0,cutNormal/1,cutNormal/2,timeDependence
0,6,1,0,6.086,0,1,70,13,30,0.02923727,15.4223232,1.20302379,1.59677279,0.0391915441,-0.3276149,0.9598706,1.45623422,-0.6993252,-0.6950943,-0.166697726,-0.704613149,0.709276855,-0.0211336389,0.0211336389
1,1,0,1,6.419333,0,2,70,15,30,0.0282197,14.35918,1.22328377,1.59099352,0.00502359867,-0.904601634,0.93416816,1.44229686,-0.339395225,-0.8958293,-0.286880881,-0.915999651,0.377712429,-0.13519612,0.13519612
0,5,7,2,6.530444,0,2,70,14,30,0.0144529343,26.107111,1.49261212,1.42293036,0.0145038366,0.8941298,1.49691188,1.15084314,0.9186832,0.394376546,-0.02209837,0.404737771,-0.911579549,-0.0721818358,0.0721818358
1,0,5,3,6.75266647,0,2,70,12,30,0.000469207764,23.218111,1.1345731,1.52018964,0.0599170625,-0.240526438,1.49170375,0.846610665,-0.129187271,0.9783372,0.161762014,0.9925982,0.11249923,-0.04574714,0.04574714
0,1,3,4,6.974889,0,2,70,15,30,0.0150499344,19.6604862,1.44514,1.58721411,0.007183194,0.893438,0.9313564,1.1601634,0.4033732,-0.901432753,-0.157191277,-0.913526654,-0.3956316,0.09457812,0.09457812
1,7,2,5,7.197111,0,4,70,12,30,0.02914238,22.5459614,1.26836228,1.44920087,0.06520486,0.347893745,0.9762371,1.48954022,0.671513,-0.7107149,-0.2096535,-0.734511733,-0.677026749,-0.0461217761,0.0461217761
1,4,4,6,7.53044462,0,4,70,9,30,-0.0000729560852,25.41209,1.37617671,1.57972085,0.114194751,-0.8330348,1.57546175,0.8863435,-0.7717038,0.608243644,-0.18577674,0.5864124,0.7924817,0.1676108,0.1676108
0,0,10,7,7.641556,0,4,70,11,30,0.0144805908,26.9716644,1.28177691,1.18079448,0.0707652,0.229663163,1.98326409,1.15949345,0.006540198,0.9986655,-0.05122861,0.9939468,-0.00136014447,0.109854408,0.109854408
1,1,1,8,7.863778,0,4,70,14,30,0.000618934631,21.039957,1.47199023,1.37032449,0.0175811071,-0.317166984,0.932177842,0.8603744,0.17477873,-0.9724939,-0.153974265,-0.976445138,-0.158425361,-0.146480352,0.146480352
0,1,3,9,8.086,0,4,70,11,30,0.0143451691,18.4343815,1.31950259,1.60622418,0.0713926554,0.8387508,0.8979603,1.17184114,0.4818032,-0.8158144,-0.319863319,-0.857921362,-0.508567452,0.07301088,0.07301088
1,4,4,10,8.308223,0,4,70,10,30,0.0006055832,17.8444614,1.18982553,1.5400157,0.106171727,-0.8120272,1.53802264,0.928548753,-0.54500407,0.826985657,0.1380769,0.828590035,0.499760658,0.2523447,0.2523447
0,0,10,11,8.530445,0,4,70,13,30,0.000415802,29.5142574,1.39437687,1.65892541,0.0488867462,0.251272857,1.98486328,0.892690241,0.00533480849,0.9739484,-0.2267071,0.9967356,0.002038736,0.08071038,0.08071038
