noteType,noteDirection,index,id,time,cutType,multiplier,score/0,score/1,score/2,timeDeviation,speed,preswing,postswing,distanceToCenter,cutPoint/0,cutPoint/1,cutPoint/2,saberDir/0,saberDir/1,saberDir/2,cutNormal/0,cutNormal/1,cutNormal/2,timeDependence
0,8,3,0,1.76388884,0,1,70,15,30,0.01825285,18.0176983,1.31735706,1.22221756,0.003575325,0.8969912,0.932007849,1.23803067,0.5380899,-0.8179597,-0.203472614,-0.8415631,-0.538029,0.047922954,0.047922954
1,8,2,1,1.76388884,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,0
1,8,1,2,2.20833325,0,1,70,13,30,-0.007838011,21.45203,1.08194613,2.61371565,0.03511128,-0.268664867,0.948333859,0.8091156,-0.298559129,0.129478246,0.9455675,0.8924527,0.386195064,0.233198524,0.233198524
0,8,2,3,2.20833325,0,2,70,14,30,-0.007838011,20.13363,1.11176288,2.117435,0.0141918734,0.3137206,0.9311631,0.8012668,0.0301437117,0.04866315,0.9983603,0.9667932,-0.254440784,0.0238922238,0.0238922238
0,8,1,4,2.65277767,0,2,70,12,30,0.0211420059,25.7144279,1.3244592,1.4436394,0.0680396855,-0.360433728,0.9624269,1.28297114,-0.392517835,-0.899816632,-0.19042027,-0.8882127,0.423993349,-0.176940516,0.176940516
1,8,0,5,2.65277767,0,2,70,10,30,0.007224083,26.2873421,1.47282851,1.69566619,0.0940340757,-0.9831795,0.9705734,0.990681767,-0.305901885,-0.9003316,-0.3095593,-0.884567142,0.38040185,-0.269880533,0.269880533
1,8,1,6,3.09722233,0,2,70,15,30,0.004899025,19.5967712,1.13391972,2.10380745,0.00105371326,-0.298964322,0.9350726,0.989507735,-0.132563159,0.375376672,0.9173436,0.9828994,0.173124611,0.06274429,0.06274429
0,8,2,7,3.09722233,0,4,65,15,30,0.004899025,22.3185616,0.929265857,2.03713083,0.004283607,0.304047167,0.9336567,0.988772035,0.2569038,0.3481533,0.9015485,0.9448037,-0.287942916,-0.156317115,0.156317115
1,8,1,8,3.54166675,0,4,70,12,30,0.0327899456,21.269516,1.20864069,1.61323583,0.0560042858,-0.244201,0.9340417,1.53702486,0.03032045,-0.9963089,-0.08030745,-0.9963346,-0.0430507,-0.07391913,0.07391913
0,8,3,9,3.54166675,0,4,70,12,30,0.0184981823,19.6992722,1.18194783,1.809286,0.0665591955,0.955049336,0.970579267,1.24026847,0.5218009,-0.7926336,-0.3153662,-0.827073157,-0.5510248,0.111003622,0.111003622
1,8,2,10,3.98611116,0,4,70,10,30,0.00158548355,18.88929,1.0055635,2.274517,0.09412027,0.210196435,0.9232367,0.969904065,0.187489271,0.456200868,0.8699014,0.9541365,0.124522015,-0.2722462,0.2722462
