noteType,noteDirection,index,id,time,cutType,multiplier,score/0,score/1,score/2,timeDeviation,speed,preswing,postswing,distanceToCenter,cutPoint/0,cutPoint/1,cutPoint/2,saberDir/0,saberDir/1,saberDir/2,cutNormal/0,cutNormal/1,cutNormal/2,timeDependence
0,1,2,0,1.96078432,0,1,70,12,30,0.0386651754,20.00357,1.09828544,1.67338848,0.0626290441,0.3625189,0.9265238,1.67359,-0.04479279,-0.9934078,-0.105520286,-0.9982415,0.0573424473,-0.0150272474,0.0150272474
1,1,1,1,1.96078432,0,2,70,15,30,0.009612441,18.80832,1.23243618,1.203444,0.00674892962,-0.293310553,0.934827268,1.06181192,0.06976361,-0.959063,-0.274465472,-0.9911865,-0.02406549,-0.1302702,0.1302702
0,0,7,2,2.15686274,0,2,70,12,30,0.0394310951,31.5933,1.2126298,1.36608529,0.0691855848,0.8392207,1.50608611,1.71578646,0.474662542,0.865954,0.157540917,0.8784972,-0.436720729,-0.193695232,0.193695232
1,0,4,3,2.222353,0,2,70,4,30,0.0358295441,27.2777786,1.05314755,1.39312923,0.213972852,-0.7054073,1.55677485,1.66806245,-0.3487227,0.934323132,-0.0737071,0.9094273,0.3706934,0.18849057,0.18849057
0,1,2,4,2.287451,0,2,70,14,30,-0.0106446743,32.2935677,1.230198,1.48236966,0.01871861,0.3179632,0.929533064,0.64889276,-0.274471581,-0.897084534,-0.3462726,-0.9596436,0.270530134,0.07679613,0.07679613
1,1,1,5,2.35294127,0,4,70,10,30,0.0138299465,33.4894867,1.15254354,1.54006565,0.109753519,-0.407851219,0.9234657,1.14661133,0.122313812,-0.981492758,-0.1473477,-0.9826674,-0.09911627,-0.156654656,0.156654656
0,5,7,6,2.54901958,0,4,70,11,30,0.04364848,28.5271511,1.2113049,1.29354,0.07579163,0.835693836,1.51155627,1.80563974,0.5317411,0.8389597,0.115749627,0.848460734,-0.497865528,-0.179567486,0.179567486
0,6,1,7,2.745098,0,4,70,9,30,0.0312309265,27.4147263,1.16692233,1.54640841,0.113573253,-0.2142681,0.8573141,1.52848721,-0.6002742,-0.704887033,-0.3778957,-0.754860044,0.6558461,-0.007224992,0.007224992
1,0,4,8,2.84313726,0,4,70,8,30,0.032102108,25.2536469,1.12848556,1.43469238,0.144414723,-0.765719831,1.52083254,1.58000588,-0.2798268,0.956502855,-0.08245723,0.9298236,0.290102631,0.226425529,0.226425529
0,5,10,9,2.94117641,0,4,70,7,30,0.0464010239,36.1990242,1.435555,1.39876878,0.160228282,0.158883542,2.03537,1.8152777,0.3880901,0.9033444,0.182633683,0.880721331,-0.424991041,0.20907563,0.20907563
